set,family,study,pred_vox,false_positive
GAN-pix2pix-2D-T2-from-dual,GAN,ReMIND-109-post,45354,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-003-post,26481,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-031-post,131954,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-056-post,48279,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-087-post,35327,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-091-post,13797,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-096-post,28117,1
GAN-pix2pix-2D-T2-from-single,GAN,ReMIND-109-post,46215,1
GAN-pix2pix-3D-T2-from-dual,GAN,ReMIND-003-post,36115,1
GAN-pix2pix-3D-T2-from-dual,GAN,ReMIND-056-post,58148,1
GAN-pix2pix-3D-T2-from-dual,GAN,ReMIND-096-post,40867,1
GAN-pix2pix-3D-T2-from-dual,GAN,ReMIND-109-post,48168,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-003-post,27123,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-031-post,93705,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-056-post,36747,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-087-post,26656,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-091-post,26508,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-096-post,10322,1
GAN-pix2pix-3D-T2-from-single,GAN,ReMIND-109-post,18357,1
GAN-swinpix2pix-2.5D-T2-from-dual,GAN,ReMIND-003-post,26621,1
GAN-swinpix2pix-2.5D-T2-from-dual,GAN,ReMIND-056-post,25808,1
GAN-swinpix2pix-2.5D-T2-from-dual,GAN,ReMIND-096-post,26228,1
GAN-swinpix2pix-2.5D-T2-from-dual,GAN,ReMIND-109-post,33446,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-003-post,29603,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-031-post,149922,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-056-post,38747,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-087-post,37727,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-091-post,10746,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-096-post,28375,1
GAN-swinpix2pix-2.5D-T2-from-single,GAN,ReMIND-109-post,38594,1
GAN-swinpix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-003-post,24497,1
GAN-swinpix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-056-post,31598,1
GAN-swinpix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-096-post,18675,1
GAN-swinpix2pix-2D+3D-post-T2-from-dual,GAN,ReMIND-109-post,17247,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-003-post,26147,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-031-post,152117,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-056-post,40421,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-087-post,41903,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-091-post,19753,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-096-post,8288,1
GAN-swinpix2pix-2D+3D-post-T2-from-single,GAN,ReMIND-109-post,24030,1
GAN-swinpix2pix-2D-T2-from-dual,GAN,ReMIND-003-post,30667,1
GAN-swinpix2pix-2D-T2-from-dual,GAN,ReMIND-056-post,33743,1
GAN-swinpix2pix-2D-T2-from-dual,GAN,ReMIND-096-post,30041,1
GAN-swinpix2pix-2D-T2-from-dual,GAN,ReMIND-109-post,33158,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-003-post,24674,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-031-post,150034,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-056-post,42538,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-087-post,42629,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-091-post,19090,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-096-post,26838,1
GAN-swinpix2pix-2D-T2-from-single,GAN,ReMIND-109-post,46274,1
GAN-swinpix2pix-3D-T2-from-dual,GAN,ReMIND-003-post,25300,1
GAN-swinpix2pix-3D-T2-from-dual,GAN,ReMIND-056-post,51866,1
GAN-swinpix2pix-3D-T2-from-dual,GAN,ReMIND-096-post,28521,1
GAN-swinpix2pix-3D-T2-from-dual,GAN,ReMIND-109-post,43475,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-003-post,16416,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-031-post,112981,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-056-post,43988,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-087-post,25100,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-091-post,16814,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-096-post,3047,1
GAN-swinpix2pix-3D-T2-from-single,GAN,ReMIND-109-post,31511,1
REAL_T2,real MR,ReMIND-003-post,1099,1
REAL_T2,real MR,ReMIND-031-post,0,0
REAL_T2,real MR,ReMIND-056-post,0,0
REAL_T2,real MR,ReMIND-087-post,2076,1
REAL_T2,real MR,ReMIND-091-post,495,1
REAL_T2,real MR,ReMIND-096-post,0,0
REAL_T2,real MR,ReMIND-109-post,0,0
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-003-post,4643,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-031-post,16370,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-056-post,7815,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-087-post,6134,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-091-post,5234,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-096-post,4031,1
ResViT-2.5D-T2-from-dual,ResViT,ReMIND-109-post,1225,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-003-post,2722,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-031-post,3363,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-056-post,1827,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-087-post,4138,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-091-post,4294,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-096-post,2956,1
ResViT-2.5D-T2-from-single,ResViT,ReMIND-109-post,1166,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-003-post,4603,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-031-post,33798,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-056-post,7450,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-087-post,1364,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-091-post,7641,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-096-post,3855,1
ResViT-2D+3D-refine-T2-from-dual,ResViT,ReMIND-109-post,3984,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-003-post,3412,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-031-post,0,0
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-056-post,4474,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-087-post,4248,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-091-post,5948,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-096-post,9340,1
ResViT-2D+3D-refine-T2-from-single,ResViT,ReMIND-109-post,1924,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-003-post,5582,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-031-post,23007,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-056-post,5966,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-087-post,2808,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-091-post,6756,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-096-post,8323,1
ResViT-2D-T2-from-dual,ResViT,ReMIND-109-post,0,0
ResViT-2D-T2-from-single,ResViT,ReMIND-003-post,3419,1
ResViT-2D-T2-from-single,ResViT,ReMIND-031-post,0,0
ResViT-2D-T2-from-single,ResViT,ReMIND-056-post,5118,1
ResViT-2D-T2-from-single,ResViT,ReMIND-087-post,998,1
ResViT-2D-T2-from-single,ResViT,ReMIND-091-post,5989,1
ResViT-2D-T2-from-single,ResViT,ReMIND-096-post,2815,1
ResViT-2D-T2-from-single,ResViT,ReMIND-109-post,1314,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-003-post,345,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-031-post,46576,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-056-post,0,0
ResViT-3D-T2-from-dual,ResViT,ReMIND-087-post,2464,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-091-post,2478,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-096-post,677,1
ResViT-3D-T2-from-dual,ResViT,ReMIND-109-post,1531,1
ResViT-3D-T2-from-single,ResViT,ReMIND-003-post,57,1
ResViT-3D-T2-from-single,ResViT,ReMIND-031-post,28801,1
ResViT-3D-T2-from-single,ResViT,ReMIND-056-post,0,0
ResViT-3D-T2-from-single,ResViT,ReMIND-087-post,782,1
ResViT-3D-T2-from-single,ResViT,ReMIND-091-post,1544,1
ResViT-3D-T2-from-single,ResViT,ReMIND-096-post,2709,1
ResViT-3D-T2-from-single,ResViT,ReMIND-109-post,971,1
SynDiff-2.5D-T2,SynDiff,ReMIND-003-post,35,1
SynDiff-2.5D-T2,SynDiff,ReMIND-031-post,0,0
SynDiff-2.5D-T2,SynDiff,ReMIND-056-post,87,1
SynDiff-2.5D-T2,SynDiff,ReMIND-087-post,3076,1
SynDiff-2.5D-T2,SynDiff,ReMIND-091-post,1758,1
SynDiff-2.5D-T2,SynDiff,ReMIND-096-post,3775,1
SynDiff-2.5D-T2,SynDiff,ReMIND-109-post,16,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-003-post,1094,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-031-post,7748,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-056-post,0,0
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-087-post,2814,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-091-post,1253,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-096-post,4733,1
SynDiff-2.5D-T2-from-dual,SynDiff,ReMIND-109-post,69,1
SynDiff-2D-T2,SynDiff,ReMIND-003-post,129,1
SynDiff-2D-T2,SynDiff,ReMIND-031-post,264,1
SynDiff-2D-T2,SynDiff,ReMIND-056-post,1879,1
SynDiff-2D-T2,SynDiff,ReMIND-087-post,4719,1
SynDiff-2D-T2,SynDiff,ReMIND-091-post,7064,1
SynDiff-2D-T2,SynDiff,ReMIND-096-post,2564,1
SynDiff-2D-T2,SynDiff,ReMIND-109-post,548,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-003-post,1910,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-031-post,5438,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-056-post,3024,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-087-post,1267,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-091-post,59,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-096-post,4310,1
SynDiff-2D-T2-from-dual,SynDiff,ReMIND-109-post,871,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-003-post,3494,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-031-post,10470,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-056-post,6173,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-087-post,5721,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-091-post,7698,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-096-post,7168,1
SynDiff-3D+3D-refine-T2,SynDiff,ReMIND-109-post,724,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-003-post,640,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-031-post,12015,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-056-post,3363,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-087-post,1319,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-091-post,69,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-096-post,1752,1
SynDiff-3D+3D-refine-T2-from-dual,SynDiff,ReMIND-109-post,0,0
SynDiff-3D-T2,SynDiff,ReMIND-003-post,10162,1
SynDiff-3D-T2,SynDiff,ReMIND-031-post,34396,1
SynDiff-3D-T2,SynDiff,ReMIND-056-post,12963,1
SynDiff-3D-T2,SynDiff,ReMIND-087-post,1894,1
SynDiff-3D-T2,SynDiff,ReMIND-091-post,13,1
SynDiff-3D-T2,SynDiff,ReMIND-096-post,5403,1
SynDiff-3D-T2,SynDiff,ReMIND-109-post,1798,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-003-post,6989,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-031-post,22582,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-056-post,3169,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-087-post,7122,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-091-post,866,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-096-post,2060,1
SynDiff-3D-T2-from-dual,SynDiff,ReMIND-109-post,5504,1
SynDiff-cascade-T2,SynDiff,ReMIND-003-post,2672,1
SynDiff-cascade-T2,SynDiff,ReMIND-031-post,2159,1
SynDiff-cascade-T2,SynDiff,ReMIND-056-post,1677,1
SynDiff-cascade-T2,SynDiff,ReMIND-087-post,4651,1
SynDiff-cascade-T2,SynDiff,ReMIND-091-post,4070,1
SynDiff-cascade-T2,SynDiff,ReMIND-096-post,3224,1
SynDiff-cascade-T2,SynDiff,ReMIND-109-post,1065,1
SynDiff-joint-T2,SynDiff,ReMIND-003-post,1637,1
SynDiff-joint-T2,SynDiff,ReMIND-031-post,69,1
SynDiff-joint-T2,SynDiff,ReMIND-056-post,2310,1
SynDiff-joint-T2,SynDiff,ReMIND-087-post,4262,1
SynDiff-joint-T2,SynDiff,ReMIND-091-post,3574,1
SynDiff-joint-T2,SynDiff,ReMIND-096-post,3282,1
SynDiff-joint-T2,SynDiff,ReMIND-109-post,582,1
